품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
의료측정기,A,0.2,비계절ETS,0.2125365239986557,F012070,06 보건
보청기,A,0.6,비계절ETS,0.0333560403117157,F012080,06 보건
건강기기렌탈비,A,1.5,비계절ETS,3.531662276258257,F012090,06 보건
치료재료,A,1.5,비계절ETS,0.3704485602435883,F012100,06 보건
건강검진비,A,1.2,비계절ETS,0.202343483613242,F021020,06 보건
치과보철료,A,6.8,비계절ETS,0.2657685105727177,F022020,06 보건
병원검사료,A,1.1,비계절ETS,0.2073518718091331,F031020,06 보건
소형승용차,A,1.0,비계절ETS,0.2636647824765061,G011010,07 교통
중형승용차,A,1.0,비계절ETS,0.5889534199390888,G011020,07 교통
대형승용차,A,3.2,비계절ETS,1.3324926902073344,G011030,07 교통
경승용차,A,0.6,비계절ETS,0.1812018437730234,G011040,07 교통
다목적승용차,A,7.7,비계절ETS,0.2667530003241389,G011050,07 교통
수입승용차,A,9.3,비계절ETS,1.124926795927835,G011060,07 교통
전기동력차,A,5.1,비계절ETS,1.204548734226899,G011070,07 교통
자전거,A,0.5,비계절ETS,0.2176887099390838,G011080,07 교통
자동차용품,A,0.9,비계절ETS,1.394040743530747,G022010,07 교통
블랙박스,A,0.2,비계절ETS,0.5851501509762138,G022020,07 교통
자동차타이어,A,0.9,비계절ETS,0.1420139335478017,G022030,07 교통
